"","dataset","citation","n","dataset_index","best_model","h00","0m0","hm0","00b","h0b","0mb","hmb"
"48","249_Saito-Kato, M., Tanimura, Y., Mori, S., and Julius, M. L.: Morphological evolution of Stephanodiscus (Bacillariophyta) in Lake Biwa from a 300_ka fossil record, J. Micropalaeontol., 34, 165-179","Saito-Kato, M., Tanimura, Y., Mori, S., and Julius, M. L.: Morphological evolution of Stephanodiscus (Bacillariophyta) in Lake Biwa from a 300_ka fossil record, J. Micropalaeontol., 34, 165-179",114,249,"h00"," 0.000000","63.560767"," 1.797801","20.905849"," 1.840606","14.092611"," 3.797650"
"49","268_Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54.","Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54.",31,268,"h00"," 0.000000","17.614523"," 1.595554"," 3.407111"," 1.472757"," 2.782689"," 3.472757"
"50","269_Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54.","Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54.",31,269,"h00"," 0.000000","22.896075"," 1.280810"," 4.927621"," 1.068458"," 3.205920"," 3.056254"
"51","270_Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54.","Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54.",31,270,"h00"," 0.000000","19.686000"," 1.553488"," 5.738664"," 1.813168"," 5.627866"," 3.763286"
"52","303_Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21.","Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21.",21,303,"h00"," 0.000000","31.202122"," 1.996817","13.066829"," 1.991411"," 8.345159"," 3.976153"
"53","305_Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21.","Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21.",21,305,"h0b"," 1.9328491","28.1218625"," 1.3045467"," 4.5040724"," 0.0000000"," 0.8271125"," 1.3032802"
"54","308_Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21.","Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21.",21,308,"h00"," 0.000000","18.954508"," 1.866535"," 4.911136"," 1.792187"," 3.153681"," 3.694959"
"55","358_Moe SJ, Nater CR, Rustadbakken A, Vøllestad LA, Lund E, Qvenild T, Hegge O, Aass P. Long-term mark-recapture and growth data for large-sized migratory brown trout (Salmo trutta) from Lake Mjøsa, Norway. Biodivers Data J. 2020 May 28;8:e52157. doi: 10.3897/BDJ.8.e52157. PMID: 32547304; PMCID: PMC7272476.","Moe SJ, Nater CR, Rustadbakken A, Vøllestad LA, Lund E, Qvenild T, Hegge O, Aass P. Long-term mark-recapture and growth data for large-sized migratory brown trout (Salmo trutta) from Lake Mjøsa, Norway. Biodivers Data J. 2020 May 28;8:e52157. doi: 10.3897/BDJ.8.e52157. PMID: 32547304; PMCID: PMC7272476.",26,358,"h00","0.000000e+00","8.846257e-13","2.000000e+00","8.846257e-13","2.000000e+00","2.000000e+00","4.000000e+00"
"56","359_Spanbauer, T. L., Fritz, S. C., & Baker, P. A. (n.d.). Data from: Punctuated changes in the morphology of an endemic diatom from Lake Titicaca [Data set]. Data Archiving and Networked Services (DANS).","Spanbauer, T. L., Fritz, S. C., & Baker, P. A. (n.d.). Data from: Punctuated changes in the morphology of an endemic diatom from Lake Titicaca [Data set]. Data Archiving and Networked Services (DANS).",133,359,"h00","  0.0000000","152.6619559","  0.8204845"," 51.1635186","  0.3103142"," 44.3460636","  2.2790255"
"57","360_Pokorny, V. 1966. La variation de la taille moyenne chez les Ostracodes comme indice paleoecologique. Eclogae Geologicae Helvetiae 59:269-276.","Pokorny, V. 1966. La variation de la taille moyenne chez les Ostracodes comme indice paleoecologique. Eclogae Geologicae Helvetiae 59:269-276.",133,360,"h00","  0.0000000","152.6619559","  0.8204845"," 51.1635186","  0.3103142"," 44.3460636","  2.2656659"
